auto_scale_mul,canvas_height_px,canvas_width_px,final_scale_mul,group,hitbox_h_px,hitbox_id,hitbox_w_px,hitbox_x_px,hitbox_y_px,preserve_aspect,render_bitmap_h_px,render_bitmap_w_px,render_top_left_x_px,render_top_left_y_px,render_visible_h_px,render_visible_w_px,scale_override_mul,source_bitmap_h_px,source_bitmap_w_px,source_content_h_px,source_content_w_px,source_content_x_px,source_content_y_px,source_file,source_path,status,variant
0.952733,5276,3744,0.781241,control,624.6,POWER_LEVER_L,190.55,1510.13,1227.39,,492,152,1530.28,1269.19,133,144,0.82,630,195,170,184,4,256,POWER_LEVER_L.png,core-res/src/main/assets/cockpit/assets/controls/g950/POWER_LEVER_L.png,compiled,g950
0.986633,5276,3744,0.809039,control,619.36,POWER_LEVER_R,193.04,1718.41,1233.61,,506,161,1729.79,1268.22,136,146,0.82,625,199,168,180,15,251,POWER_LEVER_R.png,core-res/src/main/assets/cockpit/assets/controls/g950/POWER_LEVER_R.png,compiled,g950
1.088121,5276,3744,0.870496,control,542.99,PROP_LEVER_L,69.78,1917.92,1241.8,,477,65,1913.38,932.0,149,51,0.8,548,75,171,59,16,315,PROP_LEVER_L.png,core-res/src/main/assets/cockpit/assets/controls/g950/PROP_LEVER_L.png,compiled,g950
1.113159,5276,3744,0.890528,control,534.99,PROP_LEVER_R,75.02,2013.28,1248.89,,481,72,2009.93,937.81,152,55,0.8,540,81,171,62,15,308,PROP_LEVER_R.png,core-res/src/main/assets/cockpit/assets/controls/g950/PROP_LEVER_R.png,compiled,g950
0.868212,5276,3744,0.642477,control,506.29,FUEL_LEVER_L,47.19,2144.92,1245.61,,329,34,2150.59,1140.91,47,32,0.74,512,53,73,50,3,178,FUEL_LEVER_L.png,core-res/src/main/assets/cockpit/assets/controls/g950/FUEL_LEVER_L.png,compiled,g950
0.849478,5276,3744,0.628614,control,508.21,FUEL_LEVER_R,43.4,2212.34,1245.3,,323,31,2217.78,1130.66,167,30,0.74,514,49,265,47,2,126,FUEL_LEVER_R.png,core-res/src/main/assets/cockpit/assets/controls/g950/FUEL_LEVER_R.png,compiled,g950
1.348861,5276,3744,1.348861,control,49.85,ANTI-COL_LIGHTS,52.29,1806.57,362.98,,90,90,1794.44,341.98,46,28,1.0,67,67,34,21,18,17,ANTI-COL_LIGHTS.png,core-res/src/main/assets/cockpit/assets/controls/g950/ANTI-COL_LIGHTS.png,compiled,g950
2.058601,5276,3744,2.058601,control,56.0,ANTI_ICE,55.94,1775.78,103.28,,68,64,1770.01,97.54,51,51,1.0,33,31,25,25,4,4,ANTI_ICE.png,core-res/src/main/assets/cockpit/assets/controls/g950/ANTI_ICE.png,compiled,g950
1.288,5276,3744,1.288,control,56.0,AFT_BOOST_PUMP,55.94,1758.13,3451.75,,122,130,1736.62,3425.41,52,50,1.0,95,101,40,39,19,22,AFT_BOOST_PUMP.png,core-res/src/main/assets/cockpit/assets/controls/g950/AFT_BOOST_PUMP.png,compiled,g950
0.908823,5276,3744,0.908823,control,545.29,AVIONICS_CIRCUIT_BREAKER_PANEL,365.6,1783.95,4063.48,,502,326,1803.75,4085.13,502,326,1.0,552,359,552,359,0,0,AVIONICS_CIRCUIT_BREAKER_PANEL.png,core-res/src/main/assets/cockpit/assets/controls/g950/AVIONICS_CIRCUIT_BREAKER_PANEL.png,compiled,g950
1.273846,5276,3744,1.273846,control,72.0,AVIONICS_MASTER,71.92,1869.24,3655.95,,74,65,1870.28,3653.85,66,52,1.0,58,51,52,41,7,4,AVIONICS_MASTER.png,core-res/src/main/assets/cockpit/assets/controls/g950/AVIONICS_MASTER.png,compiled,g950
0.780606,5276,3744,0.780606,control,56.0,BATTERY_MASTER,55.94,1212.63,1555.64,,76,76,1205.15,1547.49,52,35,1.0,98,97,66,45,23,13,BATTERY_MASTER.png,core-res/src/main/assets/cockpit/assets/controls/g950/BATTERY_MASTER.png,compiled,g950
1.010196,5276,3744,1.010196,control,56.0,BEACON,55.94,2080.38,360.14,,78,90,2066.08,351.03,52,32,1.0,77,89,51,32,26,11,BEACON.png,core-res/src/main/assets/cockpit/assets/controls/g950/BEACON.png,compiled,g950
1.021911,5276,3744,1.021911,control,66.65,BUS_TIE,72.46,1694.0,451.96,,105,114,1675.47,444.56,61,38,1.0,103,112,60,37,35,10,BUS_TIE.png,core-res/src/main/assets/cockpit/assets/controls/g950/BUS_TIE.png,compiled,g950
1.010196,5276,3744,1.010196,control,56.0,CABIN_DIM,55.94,2017.88,216.22,,91,94,2003.59,204.08,52,32,1.0,90,93,51,32,26,14,CABIN_DIM.png,core-res/src/main/assets/cockpit/assets/controls/g950/CABIN_DIM.png,compiled,g950
1.010196,5276,3744,1.010196,control,56.0,CABIN_ENTRANCE,55.94,2214.24,220.1,,91,97,2206.01,209.97,52,32,1.0,90,96,51,32,20,12,CABIN_ENTRANCE.png,core-res/src/main/assets/cockpit/assets/controls/g950/CABIN_ENTRANCE.png,compiled,g950
1.010196,5276,3744,1.010196,control,56.0,CABIN_READING,55.94,2146.16,220.09,,83,92,2118.73,206.93,52,32,1.0,82,91,51,32,39,15,CABIN_READING.png,core-res/src/main/assets/cockpit/assets/controls/g950/CABIN_READING.png,compiled,g950
2.058601,5276,3744,2.058601,control,56.0,DEICE_BOOTS_AREA,55.94,1781.2,232.54,,80,68,1775.44,218.57,51,51,1.0,39,33,25,25,4,8,DEICE_BOOTS_AREA.png,core-res/src/main/assets/cockpit/assets/controls/g950/DEICE_BOOTS_AREA.png,compiled,g950
1.010196,5276,3744,1.010196,control,56.0,DEICE_BOOTS_INT,55.94,1726.48,232.43,,98,84,1720.27,207.15,52,32,1.0,97,83,51,32,18,27,DEICE_BOOTS_INT.png,core-res/src/main/assets/cockpit/assets/controls/g950/DEICE_BOOTS_INT.png,compiled,g950
2.058601,5276,3744,2.058601,control,56.0,DEICE_BOOTS_PWR,55.94,1670.3,232.11,,68,64,1664.53,226.38,51,51,1.0,33,31,25,25,4,4,DEICE_BOOTS_PWR.png,core-res/src/main/assets/cockpit/assets/controls/g950/DEICE_BOOTS_PWR.png,compiled,g950
2.058601,5276,3744,2.058601,control,56.0,DEICE_BOOTS_STAB,55.94,1837.2,232.69,,68,64,1831.44,226.95,51,51,1.0,33,31,25,25,4,4,DEICE_BOOTS_STAB.png,core-res/src/main/assets/cockpit/assets/controls/g950/DEICE_BOOTS_STAB.png,compiled,g950
2.058601,5276,3744,2.058601,control,56.0,DEICE_BOOTS_VALVE,55.94,1892.49,232.38,,119,146,1851.73,193.71,51,51,1.0,58,71,25,25,21,20,DEICE_BOOTS_VALVE.png,core-res/src/main/assets/cockpit/assets/controls/g950/DEICE_BOOTS_VALVE.png,compiled,g950
0.849796,5276,3744,0.849796,control,78.51,FUEL_SELECTOR,48.48,1872.6,3494.2,,72,42,1875.84,3497.46,72,42,1.0,85,50,85,49,0,0,FUEL_SELECTOR.png,core-res/src/main/assets/cockpit/assets/controls/g950/FUEL_SELECTOR.png,compiled,g950
1.319616,5276,3744,1.319616,control,56.0,FWD_BOOST_PUMP,55.94,1983.73,3453.07,,119,119,1967.72,3445.01,51,51,1.0,90,90,39,39,14,8,FWD_BOOST_PUMP.png,core-res/src/main/assets/cockpit/assets/controls/g950/FWD_BOOST_PUMP.png,compiled,g950
0.982498,5276,3744,0.510899,control,124.95,IGNITION_ARM,60.7,1370.08,1625.28,,62,32,1382.82,1656.22,60,25,0.52,122,63,117,49,10,3,IGNITION_ARM.png,core-res/src/main/assets/cockpit/assets/controls/g950/IGNITION_ARM.png,compiled,g950
1.559546,5276,3744,1.559546,control,56.0,IGNITER_L,55.94,1322.83,1773.49,,73,69,1320.62,1765.58,50,51,1.0,47,44,32,33,3,7,IGNITER_L.png,core-res/src/main/assets/cockpit/assets/controls/g950/IGNITER_L.png,compiled,g950
1.559546,5276,3744,1.559546,control,56.0,IGNITER_R,55.94,1404.11,1773.36,,89,90,1389.43,1768.56,50,51,1.0,57,58,32,33,11,5,IGNITER_R.png,core-res/src/main/assets/cockpit/assets/controls/g950/IGNITER_R.png,compiled,g950
0.971038,5276,3744,0.971038,control,56.0,INTAKE_DEFL,55.94,1887.33,102.86,,63,69,1872.32,89.44,44,51,1.0,65,71,45,53,18,20,INTAKE_DEFL.png,core-res/src/main/assets/cockpit/assets/controls/g950/INTAKE_DEFL.png,compiled,g950
1.946156,5276,3744,1.946156,control,72.0,INVERTER_1_CB,71.92,2556.19,178.72,,113,127,2531.91,158.37,66,66,1.0,58,65,34,34,14,12,INVERTER_1_CB.png,core-res/src/main/assets/cockpit/assets/controls/g950/INVERTER_1_CB.png,compiled,g950
1.946156,5276,3744,1.946156,control,72.0,INVERTER_2_CB,71.92,2603.0,178.94,,113,134,2574.82,158.59,66,66,1.0,58,69,34,34,16,12,INVERTER_2_CB.png,core-res/src/main/assets/cockpit/assets/controls/g950/INVERTER_2_CB.png,compiled,g950
0.444138,5276,3744,0.444138,control,56.0,INVERTER_SWITCH,55.94,854.5,352.3,,103,86,842.15,337.86,52,38,1.0,231,193,116,86,48,37,INVERTER_SWITCH.png,core-res/src/main/assets/cockpit/assets/controls/g950/INVERTER_SWITCH.png,compiled,g950
0.872288,5276,3744,0.872288,control,56.0,LANDING_LIGHT_L,55.94,1169.41,1773.7,,34,58,1167.52,1785.09,28,51,1.0,39,67,32,59,5,3,LANDING_LIGHT_L.png,core-res/src/main/assets/cockpit/assets/controls/g950/LANDING_LIGHT_L.png,compiled,g950
0.85775,5276,3744,0.85775,control,56.0,LANDING_LIGHT_R,55.94,1250.45,1773.09,,33,56,1252.92,1783.3,27,51,1.0,39,65,32,60,0,5,LANDING_LIGHT_R.png,core-res/src/main/assets/cockpit/assets/controls/g950/LANDING_LIGHT_R.png,compiled,g950
2.144376,5276,3744,2.144376,control,56.0,L_DC_GEN,55.94,1659.29,574.8,,69,73,1651.04,570.87,51,51,1.0,32,34,24,24,5,3,L_DC_GEN.png,core-res/src/main/assets/cockpit/assets/controls/g950/L_DC_GEN.png,compiled,g950
1.0304,5276,3744,1.0304,control,56.0,NO_SMOKING_LIGHTS,55.94,1912.49,359.37,,68,67,1906.94,351.06,52,32,1.0,66,65,50,31,17,10,NO_SMOKING_LIGHTS.png,core-res/src/main/assets/cockpit/assets/controls/g950/NO_SMOKING_LIGHTS.png,compiled,g950
1.985902,5276,3744,1.985902,control,49.65,PITOT_HEAT_SWITCH,52.52,2021.79,469.15,,97,143,1990.29,447.15,46,48,1.0,49,72,23,24,17,12,PITOT_HEAT_SWITCH.png,core-res/src/main/assets/cockpit/assets/controls/g950/PITOT_HEAT_SWITCH.png,compiled,g950
1.010196,5276,3744,1.010196,control,56.0,POS_LIGHTS,55.94,1856.98,360.24,,70,68,1855.82,355.17,52,32,1.0,69,67,51,32,13,7,POS_LIGHTS.png,core-res/src/main/assets/cockpit/assets/controls/g950/POS_LIGHTS.png,compiled,g950
1.470429,5276,3744,1.470429,control,56.0,PROP_DEICE,55.94,1719.24,102.62,,129,163,1657.01,65.92,50,51,1.0,88,111,34,35,44,27,PROP_DEICE.png,core-res/src/main/assets/cockpit/assets/controls/g950/PROP_DEICE.png,compiled,g950
2.144376,5276,3744,2.144376,control,56.0,R_DC_GEN,55.94,1752.32,573.64,,69,73,1744.07,569.71,51,51,1.0,32,34,24,24,5,3,R_DC_GEN.png,core-res/src/main/assets/cockpit/assets/controls/g950/R_DC_GEN.png,compiled,g950
1.0304,5276,3744,1.0304,control,56.0,STBY_BATTERY,55.94,1372.69,1555.32,,59,43,1379.57,1550.1,52,36,1.0,57,42,50,35,3,7,STBY_BATTERY.png,core-res/src/main/assets/cockpit/assets/controls/g950/STBY_BATTERY.png,compiled,g950
