auto_scale_mul,canvas_height_px,canvas_width_px,final_scale_mul,group,hitbox_h_px,hitbox_id,hitbox_w_px,hitbox_x_px,hitbox_y_px,preserve_aspect,render_bitmap_h_px,render_bitmap_w_px,render_top_left_x_px,render_top_left_y_px,render_visible_h_px,render_visible_w_px,scale_override_mul,source_bitmap_h_px,source_bitmap_w_px,source_content_h_px,source_content_w_px,source_content_x_px,source_content_y_px,source_file,source_path,status,variant
0.948596,5276,3748,0.777849,control,624.6,POWER_LEVER_L,190.75,1511.74,1227.39,,490,152,1526.56,1271.06,131,144,0.82,630,196,168,185,11,256,POWER_LEVER_L.png,core-res/src/main/assets/cockpit/assets/controls/legacy/POWER_LEVER_L.png,compiled,legacy
0.911711,5276,3748,0.747603,control,619.36,POWER_LEVER_R,193.24,1720.24,1233.61,,467,149,1743.87,1288.64,126,146,0.82,625,199,169,195,0,251,POWER_LEVER_R.png,core-res/src/main/assets/cockpit/assets/controls/legacy/POWER_LEVER_R.png,compiled,legacy
1.089283,5276,3748,0.871427,control,542.99,PROP_LEVER_L,69.86,1919.97,1241.8,,478,65,1915.46,977.89,149,51,0.8,548,75,171,59,16,262,PROP_LEVER_L.png,core-res/src/main/assets/cockpit/assets/controls/legacy/PROP_LEVER_L.png,compiled,legacy
1.114349,5276,3748,0.891479,control,534.99,PROP_LEVER_R,75.1,2015.43,1248.89,,481,72,2012.11,983.87,152,55,0.8,540,81,171,62,15,256,PROP_LEVER_R.png,core-res/src/main/assets/cockpit/assets/controls/legacy/PROP_LEVER_R.png,compiled,legacy
0.869139,5276,3748,0.643163,control,506.29,FUEL_LEVER_L,47.24,2147.22,1245.61,,329,34,2152.9,1140.79,47,32,0.74,512,53,73,50,3,178,FUEL_LEVER_L.png,core-res/src/main/assets/cockpit/assets/controls/legacy/FUEL_LEVER_L.png,compiled,legacy
0.850385,5276,3748,0.629285,control,508.21,FUEL_LEVER_R,43.44,2214.71,1245.3,,323,31,2220.17,1130.57,167,30,0.74,514,49,265,47,2,126,FUEL_LEVER_R.png,core-res/src/main/assets/cockpit/assets/controls/legacy/FUEL_LEVER_R.png,compiled,legacy
2.88,5276,3748,2.88,control,72.0,LOAD_METER,72.0,2234.28,2598.14,,78,69,2237.28,2595.5,60,66,1.0,27,24,21,23,0,3,LOAD_METER.png,core-res/src/main/assets/cockpit/assets/controls/legacy/LOAD_METER.png,compiled,legacy
1.348861,5276,3748,1.348861,control,49.85,ANTI-COL_LIGHTS,52.34,1808.5,362.98,,90,90,1796.39,341.98,46,28,1.0,67,67,34,21,18,17,ANTI-COL_LIGHTS.png,core-res/src/main/assets/cockpit/assets/controls/legacy/ANTI-COL_LIGHTS.png,compiled,legacy
2.0608,5276,3748,2.0608,control,56.0,ANTI_ICE,56.0,1777.67,103.28,,68,64,1771.43,97.04,52,52,1.0,33,31,25,25,4,4,ANTI_ICE.png,core-res/src/main/assets/cockpit/assets/controls/legacy/ANTI_ICE.png,compiled,legacy
1.288,5276,3748,1.288,control,56.0,AFT_BOOST_PUMP,56.0,1750.45,3244.26,,122,130,1728.98,3217.92,52,50,1.0,95,101,40,39,19,22,AFT_BOOST_PUMP.png,core-res/src/main/assets/cockpit/assets/controls/legacy/AFT_BOOST_PUMP.png,compiled,legacy
0.908823,5276,3748,0.908823,control,545.29,AVIONICS_CIRCUIT_BREAKER_PANEL,365.99,1785.86,4063.48,,502,326,1805.85,4085.13,502,326,1.0,552,359,552,359,0,0,AVIONICS_CIRCUIT_BREAKER_PANEL.png,core-res/src/main/assets/cockpit/assets/controls/legacy/AVIONICS_CIRCUIT_BREAKER_PANEL.png,compiled,legacy
